Shipment_ID,Shipment_Date,Carrier,Transport_Mode,Distance_Miles,Freight_Cost,Delivery_Status
JM0001,2025-01-01,Carrier C,Rail,1344,1490.80,On Time
JM0002,2025-01-01,Carrier A,Truck,810,1410.45,On Time
JM0003,2025-01-01,Carrier D,Rail,1906,2125.80,On Time
JM0004,2025-01-02,Carrier A,Rail,473,655.38,On Time
JM0005,2025-01-02,Carrier C,Truck,672,1376.92,On Time
JM0006,2025-01-03,Carrier B,Rail,474,611.12,On Time
JM0007,2025-01-03,Carrier A,Truck,171,389.61,On Time
JM0008,2025-01-04,Carrier B,Rail,1842,1844.44,On Time
JM0009,2025-01-04,Carrier E,Truck,1171,2161.81,On Time
JM0010,2025-01-05,Carrier A,Truck,492,1043.89,On Time
JM0011,2025-01-05,Carrier E,Truck,113,344.77,On Time
JM0012,2025-01-06,Carrier A,Rail,1599,1797.00,On Time
JM0013,2025-01-06,Carrier B,Rail,686,887.49,On Time
JM0014,2025-01-07,Carrier A,Truck,1067,2046.28,On Time
JM0015,2025-01-07,Carrier C,Truck,385,876.20,On Time
JM0016,2025-01-08,Carrier B,Rail,878,1041.30,Late
JM0017,2025-01-08,Carrier A,Truck,1237,1993.17,On Time
JM0018,2025-01-08,Carrier A,Rail,1192,1311.80,On Time
JM0019,2025-01-09,Carrier A,Rail,1003,1181.70,On Time
JM0020,2025-01-09,Carrier C,Truck,1332,2606.74,On Time
JM0021,2025-01-10,Carrier D,Truck,489,1025.56,On Time
JM0022,2025-01-10,Carrier C,Rail,854,1083.83,Late
JM0023,2025-01-11,Carrier E,Truck,1269,2285.48,On Time
JM0024,2025-01-11,Carrier D,Rail,949,1210.84,On Time
JM0025,2025-01-12,Carrier D,Rail,1434,1670.13,On Time
JM0026,2025-01-12,Carrier B,Rail,1755,1969.94,On Time
JM0027,2025-01-13,Carrier D,Truck,918,1677.07,On Time
JM0028,2025-01-13,Carrier A,Truck,359,768.05,On Time
JM0029,2025-01-14,Carrier D,Truck,1310,2256.25,On Time
JM0030,2025-01-14,Carrier A,Truck,1337,2153.01,On Time
JM0031,2025-01-15,Carrier D,Truck,813,1714.17,Late
JM0032,2025-01-15,Carrier D,Truck,451,916.75,On Time
JM0033,2025-01-16,Carrier A,Truck,935,1585.51,On Time
JM0034,2025-01-16,Carrier E,Truck,688,1372.23,On Time
JM0035,2025-01-16,Carrier E,Truck,541,1160.98,Late
JM0036,2025-01-17,Carrier A,Truck,761,1338.60,Late
JM0037,2025-01-17,Carrier C,Truck,634,1319.49,On Time
JM0038,2025-01-18,Carrier B,Rail,516,696.79,On Time
JM0039,2025-01-18,Carrier B,Truck,698,1451.77,On Time
JM0040,2025-01-19,Carrier E,Truck,928,1791.43,On Time
JM0041,2025-01-19,Carrier E,Rail,1654,1815.67,On Time
JM0042,2025-01-20,Carrier A,Truck,109,314.41,On Time
